	MR	ARI_o	ARI_r	Time
0	0.0	0.8607025080438879	0.8569499361361422	0.3868
1	0.0	0.8388454162115346	0.8327765546072371	0.6073
2	0.0	0.8403779366090729	0.8325205762523665	0.40525
3	0.0	0.8479381575238786	0.8423238090438044	0.3829
4	0.0	0.8471436845513983	0.8394270214989236	0.40963
5	0.0	0.8438965197489848	0.8350226667771266	0.35235
6	0.0	0.851749604153734	0.8435291370902973	0.89969
7	0.0	0.8281460285150984	0.8235736342029396	0.38495
8	0.0	0.8282231845196655	0.822100693300073	0.3417
9	0.0	0.8402060392914182	0.8352155211020486	0.41145
10	0.05	0.8352319723149705	0.8339867935987297	0.30716
11	0.05	0.821350258762212	0.8252653744417998	0.33423
12	0.05	0.8233017960784769	0.8221338001602266	0.33191
13	0.05	0.8302492537064158	0.8264684005846993	0.35952
14	0.05	0.8230168860629551	0.8246015700408361	0.34753
15	0.05	0.844300816105211	0.8420731852925722	0.26956
16	0.05	0.8583153412185711	0.8588723473152269	0.60036
17	0.05	0.8152202088048199	0.8199482332703487	0.41737
18	0.05	0.853458212058894	0.8555759896470101	0.43264
19	0.05	0.8291435276898156	0.8276135218208692	0.37878
20	0.1	0.8498593984023911	0.8515746974046982	0.35386
21	0.1	0.825587947267588	0.8338829574237325	0.52087
22	0.1	0.7883359920917471	0.7994809050558285	0.45986
23	0.1	0.8053635110556608	0.8160443939864419	0.38592
24	0.1	0.8304281987972619	0.8437852830118664	0.39385
25	0.1	0.8099580139768976	0.8182613784975805	0.3298
26	0.1	0.8172595588209697	0.8299181731128641	0.47603
27	0.1	0.7875357867041904	0.7983059364257045	0.36304
28	0.1	0.8120059170654125	0.8177556715214468	0.37419
29	0.1	0.8084492824822564	0.8179629336314976	0.33797
30	0.15	0.8054609646516404	0.8214541175456828	0.46186
31	0.15	0.8197583374866038	0.8310398424580353	0.62922
32	0.15	0.8094176842667032	0.8293897512640882	0.46888
33	0.15	0.8035173863612963	0.8162839913228662	0.37635
34	0.15	0.7991253523969375	0.8157836822061464	0.4023
35	0.15	0.8100462345747684	0.8243581225777361	0.46425
36	0.15	0.8172185463293784	0.8398754345727267	0.40165
37	0.15	0.8040167056443015	0.8181720791684656	0.41228
38	0.15	0.8041266075977983	0.815510340073511	1.0271
39	0.15	0.7924742438475754	0.8074444847130698	0.40915
40	0.2	0.8029434433176845	0.8260760419060241	0.40098
41	0.2	0.7951644328824914	0.8158705590957727	0.74556
42	0.2	0.7592334056422976	0.7797887173963068	0.42812
43	0.2	0.7960749608731039	0.8144496999760851	0.23115
44	0.2	0.7442268575843374	0.760579683209218	0.21073
45	0.2	0.811148798803819	0.834845708043706	0.20028
46	0.2	0.8425107857292461	0.8583795055079628	0.27648
47	0.2	0.7849529296421691	0.8045008988155617	0.24019
48	0.2	0.7985021105744325	0.8213925201235545	0.20354
49	0.2	0.7994554087386345	0.8223073306996398	0.23312
50	0.25	0.7555481804573041	0.7902792877578423	0.2336
51	0.25	0.803106013578298	0.834155315866057	0.22305
52	0.25	0.7471413783303674	0.778466246162029	0.22071
53	0.25	0.7649900962895904	0.7905520420637486	0.19036
54	0.25	0.7237932907594793	0.752766112541211	0.20986
55	0.25	0.7704629216240335	0.7930878214031294	0.20452
56	0.25	0.7909083814482643	0.8159619600446424	0.24614
57	0.25	0.7605397844122647	0.7930398931390045	0.21454
